transaction_id,customer_id,amount,transaction_type,channel,destination_country,timestamp,round_amount,high_cash,large_transfer,near_threshold,high_risk_country,rapid_movement,mismatch_profile,country,pep,registration_date,unusual_wealth,risk_score,suspicious,flag_reasons,risk_level,date
7e35e0c0-6,964aeefb,18466,payment,ATM,AF,2025-09-03 19:17:27.673092,False,True,True,False,True,False,False,AE,False,2025-08-24 19:17:27.670601,False,90,True,"high cash, large transfer, high risk country",High,2025-09-03
a5378147-2,0bd1b22f,10551,crypto,online,IT,2025-11-17 19:17:27.673109,False,True,True,False,False,False,False,GB,False,2023-09-27 19:17:27.670372,False,70,True,"high cash, large transfer",Medium,2025-11-17
552f40d8-4,21b8f13d,5010,withdrawal,online,US,2025-09-02 19:17:27.673119,False,True,False,False,False,True,False,AE,False,2023-08-09 19:17:27.670340,False,35,False,"high cash, rapid movement",Low,2025-09-02
c15e3ac2-0,47d3e3f5,888,transfer,ATM,DE,2026-03-13 19:17:27.673127,False,False,False,False,False,False,False,PL,False,2025-09-18 19:17:27.670535,False,0,False,,Low,2026-03-13
f4943646-a,11c952d1,15834,payment,online,FR,2025-04-01 19:17:27.673134,False,True,True,False,False,False,False,DE,False,2024-03-04 19:17:27.670227,False,50,False,"high cash, large transfer",Medium,2025-04-01
acf11d62-8,9fad1c70,5137,crypto,online,AF,2026-03-07 19:17:27.673142,False,True,False,False,True,False,False,NL,False,2024-04-16 19:17:27.670298,False,85,True,"high cash, high risk country",High,2026-03-07
b1d2de95-c,b1ae78b9,18005,crypto,online,RU,2026-01-18 19:17:27.673148,False,True,True,False,True,False,False,NL,False,2024-12-09 19:17:27.669806,False,110,True,"high cash, large transfer, high risk country",High,2026-01-18
bc85df07-4,ead8605a,19777,crypto,ATM,RU,2025-11-14 19:17:27.673155,False,True,True,False,True,True,False,AE,False,2025-10-01 19:17:27.670592,False,120,True,"high cash, large transfer, high risk country, rapid movement",High,2025-11-14
6b2ec417-c,0cfe5b1b,279,withdrawal,branch,FR,2025-04-04 19:17:27.673161,False,False,False,False,False,False,False,RU,False,2024-05-01 19:17:27.669920,False,40,False,,Low,2025-04-04
9ffcdc9f-b,e4e785e0,10713,payment,online,AF,2025-06-05 19:17:27.673168,False,True,True,False,True,False,False,FR,False,2025-12-02 19:17:27.670303,False,90,True,"high cash, large transfer, high risk country",High,2025-06-05
f9c6335b-4,2f297f70,16937,transfer,ATM,GB,2025-08-05 19:17:27.673174,False,True,True,False,False,True,False,SY,False,2026-01-25 19:17:27.670022,False,100,True,"high cash, large transfer, rapid movement",High,2025-08-05
99cbb1cb-f,1e7d8526,13297,withdrawal,branch,AF,2025-03-28 19:17:27.673181,False,True,True,False,True,False,False,IR,False,2024-07-09 19:17:27.670401,False,130,True,"high cash, large transfer, high risk country",High,2025-03-28
bbfbce20-9,3475d523,16673,payment,online,DE,2026-02-10 19:17:27.673187,False,True,True,False,False,False,False,AF,False,2023-11-23 19:17:27.670044,False,90,True,"high cash, large transfer",High,2026-02-10
3ab543ec-9,e4e785e0,14972,crypto,branch,DE,2026-02-03 19:17:27.673193,False,True,True,False,False,False,False,FR,False,2025-12-02 19:17:27.670303,False,70,True,"high cash, large transfer",Medium,2026-02-03
f28f9a5d-0,66ba5a47,6792,payment,online,IR,2025-12-28 19:17:27.673199,False,True,False,False,True,False,False,GB,False,2026-01-27 19:17:27.669915,False,65,True,"high cash, high risk country",Medium,2025-12-28
f3e5bcf9-a,a34e68e6,7568,transfer,branch,RU,2025-07-16 19:17:27.673205,False,True,False,False,True,False,False,IT,False,2023-07-08 19:17:27.669863,False,65,True,"high cash, high risk country",Medium,2025-07-16
a999ce80-c,558b0af6,3501,transfer,ATM,GB,2025-11-10 19:17:27.673211,False,False,False,False,False,False,False,FR,False,2025-01-11 19:17:27.670576,False,15,False,,Low,2025-11-10
7bace3b1-a,66876590,1620,crypto,online,DE,2025-08-07 19:17:27.673217,False,False,False,False,False,False,False,AE,False,2024-10-29 19:17:27.670103,False,20,False,,Low,2025-08-07
917e6e84-5,29ce70a1,12230,payment,online,GB,2025-08-09 19:17:27.673223,False,True,True,False,False,False,False,DE,False,2023-12-05 19:17:27.670074,False,50,False,"high cash, large transfer",Medium,2025-08-09
73396c64-0,991f2a00,13137,crypto,ATM,FR,2025-07-27 19:17:27.673229,False,True,True,False,False,False,False,FR,False,2025-10-22 19:17:27.670208,False,70,True,"high cash, large transfer",Medium,2025-07-27
58338e13-1,466079b5,10716,withdrawal,online,RU,2026-01-25 19:17:27.673236,False,True,True,False,True,False,False,IT,False,2023-11-23 19:17:27.670584,False,90,True,"high cash, large transfer, high risk country",High,2026-01-25
c89e4ce5-6,1e7d8526,6493,payment,online,FR,2025-07-20 19:17:27.673242,False,True,False,False,False,False,False,IR,False,2024-07-09 19:17:27.670401,False,65,True,high cash,Medium,2025-07-20
a599884a-2,88e2af9e,15918,transfer,ATM,NL,2025-07-11 19:17:27.673247,False,True,True,False,False,False,False,AF,False,2024-11-30 19:17:27.670223,False,90,True,"high cash, large transfer",High,2025-07-11
451f3d3c-1,9492c68f,16133,withdrawal,branch,RU,2025-12-03 19:17:27.673253,False,True,True,False,True,False,False,PL,False,2024-07-06 19:17:27.670204,False,90,True,"high cash, large transfer, high risk country",High,2025-12-03
2b5ecb4d-1,45597a62,10050,crypto,ATM,ES,2025-12-26 19:17:27.673259,False,True,True,True,False,False,False,PL,True,2025-11-14 19:17:27.669858,False,120,True,"high cash, large transfer, near threshold",High,2025-12-26
41fc512c-e,6c12a860,15895,withdrawal,online,ES,2025-12-27 19:17:27.673268,False,True,True,False,False,False,False,DE,False,2025-01-14 19:17:27.670545,True,75,True,"high cash, large transfer",Medium,2025-12-27
210a92eb-d,c47e4ae7,5268,crypto,ATM,NL,2025-11-17 19:17:27.673274,False,True,False,False,False,False,False,GB,False,2023-08-03 19:17:27.670588,False,45,False,high cash,Low,2025-11-17
d7e49f62-b,126a5746,13522,crypto,branch,PL,2025-04-10 19:17:27.673280,False,True,True,False,False,False,False,ES,False,2025-07-26 19:17:27.670458,False,70,True,"high cash, large transfer",Medium,2025-04-10
5049f1b2-a,d3c07990,4078,transfer,branch,IR,2025-08-08 19:17:27.673286,False,False,False,False,True,False,False,IR,False,2024-12-17 19:17:27.669979,False,95,True,high risk country,High,2025-08-08
c3a07952-c,bf8ca93f,5456,transfer,ATM,ES,2025-11-21 19:17:27.673292,False,True,False,False,False,False,True,AF,False,2024-07-24 19:17:27.670353,False,75,True,"high cash, profile mismatch",Medium,2025-11-21
e19f39ee-b,f1db6251,108,crypto,branch,NL,2025-04-29 19:17:27.673297,False,False,False,False,False,False,False,DE,False,2025-07-18 19:17:27.670563,False,20,False,,Low,2025-04-29
c0c70f79-5,8176f592,13282,crypto,branch,SY,2025-12-21 19:17:27.673304,False,True,True,False,True,False,False,AF,False,2024-12-27 19:17:27.670150,False,150,True,"high cash, large transfer, high risk country",High,2025-12-21
